Number,Frequency
4,193
8,194
11,197
32,194
52,194
1,173
13,186
28,196
37,175
46,215
20,222
25,199
58,92
61,78
19,181
31,227
49,179
56,156
7,191
30,187
39,205
41,181
70,76
24,204
55,132
14,218
53,175
54,149
9,186
48,203
63,71
10,223
47,164
12,189
43,178
62,83
27,189
64,86
65,68
69,78
35,187
23,167
66,94
33,180
42,193
59,81
22,196
29,207
3,204
38,201
45,184
2,207
51,207
67,64
68,78
36,186
26,188
16,193
21,183
60,68
34,172
5,184
50,189
17,215
18,199
44,195
57,81
6,185
40,184
15,188
73,31
74,30
75,25
72,20
71,22
