Position,Number,Frequency
1,4,153
1,1,173
1,11,99
1,7,134
1,14,88
1,9,108
1,10,113
1,8,127
1,27,22
1,20,47
1,13,63
1,3,185
1,2,193
1,56,1
1,36,7
1,12,72
1,16,65
1,52,1
1,5,126
1,18,50
1,25,33
1,23,25
1,22,30
1,21,34
1,29,18
1,6,132
1,28,20
1,34,9
1,19,33
1,15,59
1,46,3
1,26,14
1,24,27
1,17,54
1,31,11
1,33,9
1,30,10
1,39,4
1,38,2
1,41,3
1,32,7
1,37,6
1,40,1
1,44,1
1,35,2
1,43,1
2,8,56
2,13,88
2,20,88
2,19,76
2,30,55
2,24,74
2,28,53
2,12,87
2,10,87
2,14,88
2,23,65
2,42,17
2,22,83
2,7,48
2,66,1
2,43,23
2,21,65
2,60,1
2,29,61
2,35,41
2,17,95
2,31,60
2,26,58
2,9,69
2,34,34
2,39,21
2,46,6
2,6,47
2,55,2
2,2,14
2,41,18
2,18,79
2,38,28
2,32,45
2,15,90
2,16,80
2,25,60
2,5,52
2,37,30
2,11,75
2,54,4
2,50,7
2,49,5
2,33,37
2,45,15
2,3,18
2,27,52
2,47,6
2,40,18
2,62,1
2,4,37
2,36,22
2,44,13
2,53,3
2,52,2
2,48,5
2,58,3
2,59,1
2,51,3
2,56,1
2,61,1
2,64,1
3,11,20
3,28,67
3,25,67
3,31,88
3,39,66
3,32,65
3,48,36
3,43,44
3,56,16
3,37,66
3,35,67
3,33,67
3,46,41
3,27,76
3,38,54
3,51,26
3,67,2
3,52,15
3,26,84
3,61,9
3,34,65
3,24,75
3,50,23
3,42,51
3,44,52
3,29,70
3,20,68
3,47,32
3,53,33
3,10,22
3,40,53
3,16,36
3,41,49
3,21,61
3,59,10
3,36,59
3,30,66
3,14,38
3,23,55
3,54,16
3,19,54
3,7,8
3,12,27
3,8,9
3,15,33
3,22,54
3,49,21
3,55,11
3,58,12
3,45,41
3,17,58
3,13,32
3,18,47
3,6,6
3,65,3
3,60,8
3,63,5
3,9,9
3,57,8
3,66,2
3,62,5
3,4,3
3,5,5
3,64,1
3,68,2
3,3,1
4,32,62
4,37,61
4,58,42
4,49,74
4,41,68
4,53,48
4,56,35
4,47,68
4,52,54
4,64,23
4,54,50
4,65,21
4,39,75
4,59,26
4,29,48
4,45,75
4,68,15
4,48,78
4,66,18
4,51,63
4,55,26
4,46,96
4,36,70
4,22,24
4,43,57
4,50,60
4,69,12
4,23,18
4,57,34
4,24,23
4,40,77
4,61,32
4,44,65
4,33,50
4,26,30
4,60,25
4,31,50
4,42,84
4,63,24
4,67,10
4,28,50
4,62,32
4,18,20
4,38,80
4,35,58
4,27,29
4,25,33
4,17,7
4,30,43
4,19,18
4,15,6
4,16,12
4,13,3
4,20,18
4,21,20
4,34,47
4,10,1
4,8,2
4,12,3
4,73,2
4,70,5
4,74,3
4,71,3
4,72,1
4,14,3
4,11,3
4,7,1
4,5,1
5,52,122
5,46,69
5,61,36
5,56,103
5,70,71
5,55,93
5,54,79
5,63,42
5,62,45
5,65,44
5,69,66
5,66,73
5,48,84
5,35,19
5,67,52
5,45,53
5,38,37
5,42,41
5,59,44
5,68,61
5,58,35
5,51,115
5,43,53
5,60,34
5,57,39
5,27,10
5,64,61
5,50,99
5,44,64
5,24,5
5,49,79
5,30,13
5,53,91
5,41,43
5,33,17
5,47,58
5,25,6
5,40,35
5,39,39
5,18,3
5,17,1
5,32,15
5,31,18
5,22,5
5,37,12
5,36,28
5,34,17
5,23,4
5,29,10
5,28,6
5,73,29
5,74,27
5,75,25
5,72,19
5,71,19
5,21,3
5,14,1
5,20,1
5,26,2
